epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7018,1.11631,2.24715,1.07868,0.00333,1,0.64866,0.34976,1.5753,3.0477,0.96807,0.000648148,0.000648148,0.000648148
2,101.661,0.99225,1.21465,0.95778,0.8616,0.83333,0.90872,0.51895,1.43127,1.85513,0.93429,0.00118465,0.00118465,0.00118465
3,154.125,0.91907,0.96538,0.94476,0.78808,0.58333,0.7421,0.48352,1.51211,1.89418,0.95617,0.00158915,0.00158915,0.00158915
4,195.261,0.87201,0.81216,0.93328,0.77645,0.79167,0.79678,0.52501,1.38473,1.08075,0.95962,0.001406,0.001406,0.001406
5,229.564,0.85384,0.72092,0.92368,0.99956,1,0.995,0.62124,1.19784,0.7811,0.90433,0.001208,0.001208,0.001208
6,263.629,0.82307,0.64691,0.91799,0.94934,1,0.9934,0.76249,0.88057,0.60364,0.83451,0.00101,0.00101,0.00101
7,297.714,0.76909,0.5787,0.89374,0.95521,0.95833,0.94654,0.60561,1.28556,0.63489,0.88777,0.000812,0.000812,0.000812
8,332.099,0.70994,0.52323,0.87097,0.99735,1,0.995,0.6689,1.03687,0.58792,0.84603,0.000614,0.000614,0.000614
9,365.36,0.68627,0.48768,0.8714,0.99752,1,0.995,0.75336,0.8601,0.4748,0.82235,0.000416,0.000416,0.000416
10,399.075,0.6359,0.44072,0.85173,0.99752,1,0.995,0.76028,0.87413,0.45754,0.82945,0.000218,0.000218,0.000218
